algorithm,scan,signal,op_channel,nic_channel,ssid,bssid,vendor,delayj,delayk,frame_type,kernel_time,jiffies,prequest
200,13,-72,1,1,SFR_1330,30:7e:cb:8c:13:34,NA,4,0.00493100000039703,presponse,5136.089028,4836089,2543
200,13,-74,1,1,NEUF_583C,00:25:15:ae:58:40,NA,7,0.00764299999991636,presponse,5136.09174,4836092,2543
200,13,-63,11,11,freebox_YC,5a:6c:16:f8:80:58,NA,3,0.00347400000009657,presponse,5136.118575,4836119,2544
200,13,-63,11,11,freebox_YC,5a:6c:16:f8:80:58,NA,16,0.016168999999536,presponse,5136.13127,4836132,2544
200,13,-63,11,11,freebox_YC,5a:6c:16:f8:80:58,NA,18,0.0187759999998889,presponse,5136.133877,4836134,2544
200,13,-62,11,11,freebox_YC,5a:6c:16:f8:80:58,NA,21,0.0213929999999891,presponse,5136.136494,4836137,2544
200,13,-67,11,9,FreeWifi,5a:6c:16:f8:80:59,NA,9,0.009965999999622,presponse,5136.160064,4836160,2545
200,13,-67,11,9,FreeWifi,5a:6c:16:f8:80:59,NA,16,0.0165180000003602,presponse,5136.166616,4836167,2545
200,13,-63,11,10,FreeWifi_secure,5a:6c:16:f8:80:5a,NA,9,0.0091019999999844,presponse,5136.202286,4836203,2546
200,13,-65,11,10,FreeWifi_secure,5a:6c:16:f8:80:5a,NA,25,0.0254760000007082,presponse,5136.21866,4836219,2546
200,13,-71,6,7,Livebox-5184,7c:03:d8:82:51:84,NA,3,0.00360300000011193,presponse,5136.24775,4836248,2549
200,13,-80,6,7,chaponmichel,00:19:70:89:07:ab,NA,15,0.0150649999995949,presponse,5136.259212,4836260,2549
200,13,-76,-2,1,,00:25:15:29:aa:9c,NA,8,0.00843699999950331,presponse,5136.288575,4836289,2552
200,13,-72,-2,1,,92:25:15:29:aa:9d,NA,10,0.00993500000004133,presponse,5136.290073,4836291,2552
200,13,-75,-2,1,,92:25:15:29:aa:9f,NA,13,0.0132940000003146,presponse,5136.293432,4836294,2552
200,14,-73,6,6,Livebox-aa39,5c:33:8e:be:a5:d0,NA,8,0.00832599999921513,presponse,5174.094415,4874095,2883
200,14,-76,6,6,ReseauColocGeek,7c:03:d8:82:35:4c,NA,12,0.0125079999997979,presponse,5174.098597,4874099,2883
200,14,-79,6,6,Livebox-0d50,00:19:70:44:8f:ed,NA,18,0.0189289999998437,presponse,5174.105018,4874105,2883
200,14,-74,1,1,Livebox-B550,00:14:a4:5c:3e:f5,NA,3,0.00340800000049057,presponse,5174.120514,4874121,2884
200,14,-70,1,1,NUMERICABLE-6698,a0:21:b7:ee:4e:f6,NA,6,0.00697399999990012,presponse,5174.12408,4874124,2884
200,14,-75,1,1,SFR_1330,30:7e:cb:8c:13:34,NA,12,0.0125910000006115,presponse,5174.129697,4874130,2884
200,14,-85,1,1,NEUF_AA98,00:25:15:29:aa:9c,NA,18,0.0180700000000797,presponse,5174.135176,4874136,2884
200,14,-83,1,1,SFR WiFi FON,92:25:15:29:aa:9d,NA,22,0.0225900000004913,presponse,5174.139696,4874140,2884
200,14,-86,1,1,SFR WiFi Mobile,92:25:15:29:aa:9f,NA,24,0.0242720000005647,presponse,5174.141378,4874142,2884
200,14,-71,11,11,NEUF_ED70,00:25:15:4e:ed:74,NA,17,0.0171750000008615,presponse,5174.169367,4874170,2885
200,14,-72,10,10,Livebox-8b6e,00:03:c9:43:0a:bd,NA,15,0.0155250000007072,presponse,5174.205923,4874206,2887
200,14,-77,3,3,FreeWifi,f4:ca:e5:c2:2c:69,NA,10,0.0102660000002288,presponse,5174.218355,4874219,2888
200,14,-81,2,3,NUMERICABLE-74C7,24:ec:99:78:62:54,NA,21,0.0214850000002116,presponse,5174.229574,4874230,2888
200,14,-75,6,7,Livebox-aa39,5c:33:8e:be:a5:d0,NA,8,0.00866899999982707,presponse,5174.260815,4874261,2890
200,14,-76,1,2,Livebox-B550,00:14:a4:5c:3e:f5,NA,2,0.00235400000019581,presponse,5174.2905,4874291,2893
